rank,name,price,1h_change,24h_change,7d_change,market_cap,volume_24h,circulating_supply,page
149,THORChainRUNE,$0.6653,0.37%,1.58%,16.27%,"$233.56M$233,562,787","$22,111,19233.20M",351.01M RUNE,2
150,SonicS,$0.08055,0.19%,1.37%,6.14%,"$232.01M$232,012,456","$17,914,265222.30M",2.88B S,2
151,eCashXEC,$0.00001158,0.10%,0.32%,0.80%,"$231.44M$231,442,991","$4,721,774407.40B",19.97T XEC,2
152,Terra ClassicLUNC,$0.00004161,0.11%,2.20%,4.48%,"$227.73M$227,725,631","$11,617,161279.22B",5.47T LUNC,2
153,Merlin ChainMERL,$0.2047,0.65%,16.57%,19.08%,"$222.91M$222,910,114","$60,052,599292.85M",1.08B MERL,2
154,Convex FinanceCVX,$2.22,0.70%,5.04%,12.15%,"$221.1M$221,100,691","$14,502,0256.50M",99.25M CVX,2
155,1inch1INCH,$0.1577,0.10%,2.31%,0.94%,"$220.85M$220,852,306","$10,799,77768.39M",1.39B 1INCH,2
156,OriginTrailTRAC,$0.4424,0.70%,4.60%,5.69%,"$221.22M$221,224,538","$6,850,90315.51M",499.99M TRAC,2
157,币安人生币安人生,$0.2213,2.35%,3.74%,33.37%,"$221.34M$221,339,364","$44,213,258200.99M",1B 币安人生,2
158,DeepBook ProtocolDEEP,$0.04690,0.56%,4.08%,14.07%,"$217.79M$217,794,759","$13,007,200276.72M",4.64B DEEP,2
159,EigenCloudEIGEN,$0.4002,0.24%,2.87%,3.09%,"$217.48M$217,482,011","$24,702,34561.74M",543.33M EIGEN,2
160,HorizenZEN,$12.04,0.28%,1.78%,38.62%,"$213.5M$213,496,630","$82,114,7846.79M",17.71M ZEN,2
161,VaultaA,$0.1262,0.06%,1.77%,28.78%,"$204.22M$204,223,346","$46,146,313365.29M",1.61B A,2
162,BUILDonB,$0.2034,1.62%,7.11%,9.48%,"$203.48M$203,481,208","$6,665,70632.78M",1B B,2
163,Falcon FinanceFF,$0.08575,0.01%,2.64%,3.78%,"$200.67M$200,669,339","$101,916,3271.18B",2.34B FF,2
164,KaminoKMNO,$0.05368,0.06%,6.26%,6.18%,"$199.92M$199,924,139","$6,337,415117.92M",3.72B KMNO,2
165,MultiversXEGLD,$6.62,0.65%,2.11%,4.66%,"$192.92M$192,917,620","$66,967,58810.05M",29.13M EGLD,2
166,WormholeW,$0.03628,0.54%,0.80%,2.18%,"$190.59M$190,590,386","$13,617,836375.25M",5.25B W,2
167,MX TokenMX,$2.02,0.21%,0.34%,2.51%,"$185.92M$185,917,251","$8,026,3773.96M",91.83M MX,2
168,AmpAMP,$0.002205,0.31%,0.35%,3.14%,"$185.9M$185,901,679","$6,886,7893.12B",84.28B AMP,2
169,0G0G,$0.8719,0.10%,1.99%,1.98%,"$185.93M$185,932,741","$20,205,50523.19M",213.24M 0G,2
170,SafePalSFP,$0.3705,0.51%,0.91%,3.35%,"$185.25M$185,250,095","$2,578,9286.95M",500M SFP,2
171,Cheems (cheems.pet)CHEEMS,$0.069246,0.48%,2.82%,8.88%,"$173.37M$173,369,692","$2,599,5152.80T",187.49T CHEEMS,2
172,KiteKITE,$0.09488,1.09%,0.08%,2.73%,"$170.79M$170,789,095","$17,606,439186.00M",1.8B KITE,2
173,FTX TokenFTT,$0.5171,0.17%,1.84%,3.93%,"$170.07M$170,072,326","$2,723,0555.26M",328.89M FTT,2
174,JitoJTO,$0.3972,0.21%,4.36%,11.96%,"$169.41M$169,414,140","$17,420,44543.88M",426.46M JTO,2
175,LombardBARD,$0.7482,0.26%,0.42%,6.59%,"$168.36M$168,361,675","$20,028,83226.72M",225M BARD,2
176,Reserve RightsRSR,$0.002685,0.00%,4.08%,0.24%,"$167.99M$167,989,923","$8,530,5493.17B",62.55B RSR,2
177,ApeCoinAPE,$0.2234,0.53%,2.31%,5.39%,"$168.15M$168,145,773","$59,650,192267.44M",752.65M APE,2
178,SynthetixSNX,$0.4813,0.25%,3.56%,1.14%,"$165.32M$165,323,199","$21,677,87344.95M",343.46M SNX,2
179,AethirATH,$0.009952,0.26%,1.56%,4.10%,"$165.28M$165,280,450","$9,396,121943.33M",16.6B ATH,2
180,Brett (Based)BRETT,$0.01647,0.53%,2.71%,8.14%,"$163.29M$163,286,657","$8,311,271504.43M",9.91B BRETT,2
181,LivepeerLPT,$3.25,0.37%,0.16%,2.37%,"$159.01M$159,005,735","$13,949,6174.27M",48.84M LPT,2
182,dYdXDYDX,$0.1936,0.39%,2.70%,5.20%,"$158.84M$158,837,492","$6,416,99533.11M",820.24M DYDX,2
183,Official Melania MemeMELANIA,$0.1663,0.15%,1.54%,8.03%,"$158.82M$158,822,022","$11,712,29170.41M",954.99M MELANIA,2
184,BeamBEAM,$0.003202,0.17%,1.03%,2.37%,"$158.44M$158,439,000","$8,343,3822.60B",49.46B BEAM,2
185,ZORAZORA,$0.03527,0.69%,4.12%,6.69%,"$157.69M$157,686,713","$21,160,180599.75M",4.46B ZORA,2
186,MeteoraMET,$0.3082,3.05%,1.87%,18.14%,"$151.72M$151,719,446","$131,080,272418.76M",492.18M MET,2
187,QtumQTUM,$1.44,0.14%,3.23%,3.37%,"$152.78M$152,778,554","$14,061,6059.73M",105.94M QTUM,2
188,FlowFLOW,$0.09351,0.53%,1.54%,4.35%,"$152.4M$152,397,739","$9,367,397100.19M",1.62B FLOW,2
189,Theta FuelTFUEL,$0.02005,0.92%,0.84%,0.79%,"$144.38M$144,376,403","$4,673,546232.91M",7.19B TFUEL,2
190,SafeSAFE,$0.2080,5.44%,12.45%,30.31%,"$143.02M$143,022,006","$62,634,300298.53M",687.28M SAFE,2
191,FourFORM,$0.3770,0.96%,0.30%,6.04%,"$143.98M$143,976,004","$7,089,34518.84M",381.86M FORM,2
192,CreditcoinCTC,$0.2803,0.00%,0.83%,4.64%,"$143.13M$143,132,328","$4,032,82414.39M",510.5M CTC,2
193,Dog (Bitcoin)DOG,$0.001428,0.24%,3.38%,2.71%,"$142.87M$142,867,088","$2,233,6441.56B",100B DOG,2
194,SuperVerseSUPER,$0.2226,0.77%,0.98%,2.69%,"$141.87M$141,872,592","$27,589,547123.83M",637.16M SUPER,2
195,WEMIXWEMIX,$0.3059,1.08%,4.88%,14.31%,"$141.09M$141,091,979","$1,272,7464.16M",461.12M WEMIX,2
196,BerachainBERA,$0.9435,2.88%,12.62%,58.55%,"$135.78M$135,776,219","$451,750,123463.78M",143.9M BERA,2
197,CoW ProtocolCOW,$0.2521,0.13%,3.54%,12.56%,"$139.78M$139,776,571","$8,074,77931.95M",554.4M COW,2
198,CoreCORE,$0.1332,1.21%,3.94%,6.85%,"$139.03M$139,026,918","$16,571,842124.39M",1.04B CORE,2
199,GasGAS,$2.09,0.15%,2.02%,2.32%,"$136.01M$136,012,744","$4,272,1362.04M",64.99M GAS,2
200,KusamaKSM,$7.70,0.20%,3.04%,1.00%,"$135.81M$135,812,596","$6,127,615794.70K",17.63M KSM,2
201,RainRAIN,$0.009244,1.34%,2.50%,3.34%,"$3.14B$3,140,542,639","$64,333,9716.96B",339.71B RAIN,3
202,Falcon USDUSDf,$0.9974,0.01%,0.04%,0.07%,"$2.05B$2,052,171,017","$627,910629.59K",2.05B USDf,3
203,Jupiter Perps LPJLP,$4.88,0.01%,0.56%,3.23%,"$1.61B$1,613,854,315","$12,536,2032.56M",330.22M JLP,3
204,Ondo US Dollar YieldUSDY,$1.11,0.00%,0.04%,0.20%,"$695.89M$695,885,340","$1,559,7181.39M",622.13M USDY,3
205,BeldexBDX,$0.08521,0.98%,2.69%,3.07%,"$648.1M$648,102,256","$10,291,156120.60M",7.6B BDX,3
206,Usual USDUSD0,$0.9989,0.00%,0.10%,0.03%,"$612.54M$612,543,657",--,613.16M USD0,3
207,c8ntinuumCTM,$0.1323,0.44%,0.19%,4.88%,"$577.01M$577,012,927","$1,056,2347.98M",4.35B CTM,3
208,RiverRIVER,$26.35,3.97%,27.21%,64.43%,"$516.46M$516,463,988","$69,296,7732.62M",19.6M RIVER,3
209,USDaiUSDAI,$1.00,0.01%,0.02%,0.04%,"$501.37M$501,374,854","$192,390192.38K",501.35M USDAI,3
210,GHOGHO,$0.9996,0.00%,0.00%,0.07%,"$494.83M$494,834,207","$548,899549.08K",495M GHO,3
211,FasttokenFTN,$1.08,0.03%,0.10%,0.16%,"$475.24M$475,240,475","$12,546,35011.51M",436.26M FTN,3
212,Legacy Frax DollarFRAX,$0.9942,0.05%,0.09%,0.14%,"$274.57M$274,572,995","$1,667,7531.67M",276.15M FRAX,3
213,UltimaULTIMA,"$7,063.42",0.10%,1.09%,12.56%,"$264.24M$264,235,583","$32,381,3584.58K",37.4K ULTIMA,3
214,Undeads GamesUDS,$2.52,0.08%,2.08%,1.41%,"$250.88M$250,875,712","$1,186,821469.51K",99.24M UDS,3
215,SwissBorgBORG,$0.2472,0.28%,1.55%,0.80%,"$242.89M$242,892,354","$322,7071.30M",982.25M BORG,3
216,Ape and PepeAPEPE,$0.051070,0.03%,1.40%,1.40%,"$224.82M$224,824,412","$19,859,45118.54T",210T APEPE,3
217,WeFiWFI,$2.85,0.16%,1.84%,9.03%,"$222M$221,996,222","$2,399,780840.80K",77.78M WFI,3
218,ZeebuZBU,$0.5218,0.02%,0.01%,9.17%,"$215.84M$215,842,028","$66,890128.18K",413.62M ZBU,3
219,Loaded LionsLION,$0.006908,0.39%,1.16%,3.77%,"$213.09M$213,085,115","$732,874106.08M",30.84B LION,3
220,Quantum Resistant LedgerQRL,$3.09,1.22%,5.24%,17.53%,"$210.19M$210,191,788","$161,28152.12K",67.93M QRL,3
221,ConcordiumCCD,$0.01576,1.49%,2.65%,10.97%,"$186.24M$186,244,555","$1,179,70574.83M",11.81B CCD,3
222,AUSDAUSD,$0.9996,0.01%,0.00%,0.01%,"$180.59M$180,585,885","$25,667,74125.67M",180.64M AUSD,3
223,Ribbita by VirtualsTIBBIR,$0.1724,0.11%,6.73%,12.15%,"$172.41M$172,413,903","$7,812,18145.31M",1B TIBBIR,3
224,Aster USDFUSDF,$0.9982,0.00%,0.02%,0.07%,"$171.62M$171,616,871","$217,697218.07K",171.91M USDF,3
225,AileyALE,$0.3888,0.04%,0.13%,0.58%,"$170.97M$170,967,802","$301,176774.70K",439.72M ALE,3
226,Rollbit CoinRLB,$0.09321,2.50%,5.85%,1.27%,"$165.69M$165,685,898","$1,900,36320.25M",1.77B RLB,3
227,StandX DUSDDUSD,$0.9994,0.02%,0.02%,0.14%,"$163.47M$163,474,990","$2,057,5082.05M",163.55M DUSD,3
228,48 Club TokenKOGE,$47.98,0.01%,0.01%,0.08%,"$162.57M$162,572,703","$121,174,0772.52M",3.38M KOGE,3
229,GoМiningGOMINING,$0.3976,0.26%,2.13%,0.83%,"$161.43M$161,432,994","$9,359,78923.50M",405.98M GOMINING,3
230,SoSoValueSOSO,$0.5529,0.24%,1.53%,2.25%,"$151.94M$151,940,970","$4,357,7177.88M",274.76M SOSO,3
231,GUSDGUSD,$0.9993,0.00%,0.04%,0.08%,"$149.34M$149,343,457","$868,418868.98K",149.44M GUSD,3
232,STASIS EUROEURS,$1.16,0.00%,0.08%,0.20%,"$144.07M$144,069,788",--,124.12M EURS,3
233,ZanoZANO,$9.59,0.14%,3.99%,2.23%,"$143.88M$143,884,718","$1,642,629171.33K",15M ZANO,3
234,Venice TokenVVV,$3.20,5.17%,8.78%,13.28%,"$139.85M$139,850,727","$4,540,4281.41M",43.68M VVV,3
235,ToshiTOSHI,$0.0003192,0.16%,2.76%,6.57%,"$134.29M$134,294,062","$8,981,01828.12B",420.67B TOSHI,3
236,Akash NetworkAKT,$0.4626,0.24%,1.26%,9.01%,"$132.45M$132,453,878","$5,315,88511.46M",286.3M AKT,3
237,FogoFOGO,$0.03531,1.03%,7.86%,34.09%,"$132.76M$132,761,283","$99,423,7002.81B",3.75B FOGO,3
238,BitMart TokenBMX,$0.4062,1.61%,1.23%,12.56%,"$131.73M$131,733,586","$5,880,16514.47M",324.28M BMX,3
239,KeetaKTA,$0.2737,0.44%,4.26%,23.31%,"$130.37M$130,372,588","$4,005,42214.64M",476.18M KTA,3
240,AIOZ NetworkAIOZ,$0.1055,0.04%,0.95%,4.55%,"$129.82M$129,818,136","$3,061,96629.03M",1.23B AIOZ,3
241,SOONSOON,$0.3367,0.08%,3.22%,10.87%,"$129.15M$129,153,112","$4,719,41214.00M",383.54M SOON,3
242,KAITOKAITO,$0.5315,1.00%,0.85%,9.10%,"$128.3M$128,298,854","$21,662,75840.53M",241.38M KAITO,3
243,Nervos NetworkCKB,$0.002680,0.00%,2.31%,1.16%,"$128.82M$128,818,138","$4,076,4921.51B",48.05B CKB,3
244,Frax USDFRXUSD,$1.00,0.10%,0.17%,0.15%,"$128.19M$128,192,387","$1,242,2531.24M",128.03M FRXUSD,3
245,SLTSLT,$14.82,0.22%,0.22%,0.06%,"$126.01M$126,013,099","$91,1526.10K",8.5M SLT,3
246,yearn.financeYFI,"$3,610.85",0.33%,2.04%,4.79%,"$126.71M$126,712,093","$16,904,9964.68K",35.09K YFI,3
247,MovementMOVE,$0.03966,4.45%,0.67%,12.31%,"$126.12M$126,118,303","$20,307,555519.31M",3.17B MOVE,3
248,RoninRON,$0.1692,0.52%,0.67%,24.70%,"$123.4M$123,396,038","$64,855,384382.13M",729.05M RON,3
249,0x ProtocolZRX,$0.1451,0.28%,4.34%,4.03%,"$123.11M$123,106,851","$20,889,554143.82M",848.39M ZRX,3
250,YooldoESPORTS,$0.4519,0.08%,0.02%,4.46%,"$122.37M$122,367,792","$99,644,179220.45M",270.75M ESPORTS,3
251,RavencoinRVN,$0.007601,0.11%,2.42%,1.22%,"$121.88M$121,877,279","$9,818,3691.29B",16.03B RVN,3
252,TurboTURBO,$0.001757,0.04%,2.91%,9.43%,"$121.24M$121,239,944","$11,556,4816.57B",69B TURBO,3
253,DigiByteDGB,$0.006669,1.73%,8.45%,13.00%,"$120.76M$120,760,264","$10,916,8391.63B",18.1B DGB,3
254,VergeXVG,$0.007266,0.04%,0.12%,20.04%,"$120.06M$120,063,793","$10,480,4521.44B",16.52B XVG,3
255,Alchemist AIALCH,$0.1409,1.47%,0.80%,8.24%,"$119.84M$119,835,738","$17,995,586127.64M",850M ALCH,3
256,Alchemy PayACH,$0.01204,5.32%,5.43%,17.16%,"$118.8M$118,796,819","$18,328,5571.51B",9.86B ACH,3
257,Baby Doge CoinBabyDoge,$0.096674,0.30%,2.34%,5.89%,"$117.15M$117,151,301","$4,883,6657.31P",175.51P BabyDoge,3
258,Mog CoinMOG,$0.062987,0.35%,1.39%,11.21%,"$116.68M$116,677,690","$4,335,04314.51T",390.56T MOG,3
259,Magic EdenME,$0.2795,11.35%,26.24%,29.03%,"$118.87M$118,870,008","$56,880,201209.89M",425.15M ME,3
260,Keep NetworkKEEP,$0.1176,0.33%,40.22%,28.40%,"$113.89M$113,890,585","$9,89784.02K",967.78M KEEP,3
261,ZilliqaZIL,$0.005730,0.13%,2.92%,7.63%,"$112.62M$112,620,783","$12,496,4642.17B",19.65B ZIL,3
262,ThresholdT,$0.01002,0.11%,0.95%,4.59%,"$111.83M$111,832,562","$2,245,912224.02M",11.15B T,3
263,MinaMINA,$0.08691,0.49%,3.03%,2.28%,"$110.41M$110,412,223","$6,850,45078.76M",1.27B MINA,3
264,FellazFLZ,$0.2322,0.08%,0.13%,2.79%,"$109.59M$109,585,227","$4,163,96817.93M",471.87M FLZ,3
265,VeloVELO,$0.006210,0.17%,1.09%,10.94%,"$109.08M$109,078,972","$24,558,1343.95B",17.56B VELO,3
266,RealLinkREAL,$0.07904,0.09%,0.38%,5.48%,"$108.61M$108,614,242","$7,391,15093.51M",1.37B REAL,3
267,ORDIORDI,$5.13,0.88%,1.81%,13.34%,"$107.78M$107,784,245","$15,721,7073.06M",21M ORDI,3
268,AWEAWE,$0.05515,0.06%,0.30%,3.07%,"$107.14M$107,137,269","$4,469,93081.03M",1.94B AWE,3
269,DriftDRIFT,$0.1926,0.57%,6.72%,21.05%,"$106.51M$106,514,424","$28,207,283146.70M",552.92M DRIFT,3
270,Open CampusEDU,$0.1627,0.89%,0.21%,8.07%,"$105.69M$105,688,142","$6,013,17636.91M",649.46M EDU,3
271,XPR NetworkXPR,$0.003699,0.01%,1.63%,2.06%,"$105M$105,003,689","$2,178,430587.49M",28.38B XPR,3
272,OasisROSE,$0.01394,0.30%,2.88%,16.83%,"$104.74M$104,740,486","$4,502,956322.83M",7.5B ROSE,3
273,ViciCoinVCNT,$17.13,0.13%,0.21%,0.32%,"$104.33M$104,333,913","$182,92910.65K",6.08M VCNT,3
274,MetYaMY,$0.1052,0.40%,0.79%,1.17%,"$103.21M$103,213,028","$11,554,056110.04M",980.25M MY,3
275,YZY MONEYYZY,$0.3398,0.07%,1.28%,4.68%,"$101.94M$101,940,699","$975,0742.86M",299.99M YZY,3
276,BlurBLUR,$0.03734,0.91%,0.90%,17.30%,"$100.65M$100,650,916","$76,070,2622.03B",2.69B BLUR,3
277,MNEEMNEE,$0.9974,0.02%,0.38%,0.21%,"$100.36M$100,358,160","$91,66691.90K",100.61M MNEE,3
278,DohrniiDHN,$5.86,0.02%,0.15%,0.61%,"$100.09M$100,090,307","$179,01330.54K",17.07M DHN,3
279,ZetaChainZETA,$0.08154,0.36%,2.08%,3.54%,"$99.32M$99,316,168","$6,960,88285.28M",1.21B ZETA,3
280,SushiSwapSUSHI,$0.3463,0.09%,0.37%,6.00%,"$99.34M$99,336,953","$22,141,25063.93M",286.83M SUSHI,3
281,Moca NetworkMOCA,$0.02498,3.12%,8.77%,9.21%,"$98.76M$98,759,652","$9,202,345368.30M",3.95B MOCA,3
282,NanoXNO,$0.7424,0.87%,1.78%,3.05%,"$98.93M$98,933,917","$904,2681.22M",133.24M XNO,3
283,KavaKAVA,$0.09105,0.23%,1.31%,2.92%,"$98.6M$98,602,414","$7,959,80987.30M",1.08B KAVA,3
284,Defi AppHOME,$0.02975,0.62%,2.75%,14.32%,"$98.48M$98,482,469","$22,892,958769.77M",3.3B HOME,3
285,LineaLINEA,$0.006355,0.49%,4.65%,6.31%,"$98.39M$98,393,954","$15,338,7902.41B",15.48B LINEA,3
286,Stargate FinanceSTG,$0.1487,0.06%,3.95%,16.07%,"$98.31M$98,314,274","$7,599,17451.08M",660.95M STG,3
287,SPACE IDID,$0.07649,0.35%,2.11%,2.88%,"$98.19M$98,190,732","$11,382,938149.18M",1.28B ID,3
288,Rekt (rekt.com)REKT,$0.063490,0.00%,5.23%,25.92%,"$97.8M$97,795,397","$931,0402.66T",280.18T REKT,3
289,Frax (prev. FXS)FRAX,$1.07,5.79%,32.37%,43.37%,"$97.53M$97,525,448","$31,492,20029.39M",90.51M FRAX,3
290,AleoALEO,$0.1186,1.11%,3.17%,0.68%,"$96.83M$96,828,892","$4,234,73435.69M",816.22M ALEO,3
291,cat in a dogs worldMEW,$0.001079,0.05%,3.99%,6.53%,"$95.95M$95,949,799","$23,268,59621.55B",88.88B MEW,3
292,QubicQUBIC,$0.067148,0.15%,0.36%,5.73%,"$95.11M$95,114,307","$1,362,4041.90T",133.04T QUBIC,3
293,ShuffleSHFL,$0.2580,0.04%,0.90%,5.65%,"$94.98M$94,981,662","$225,258873.07K",368.14M SHFL,3
294,AstarASTR,$0.01142,0.10%,2.07%,0.30%,"$94.53M$94,534,943","$10,233,116896.03M",8.27B ASTR,3
295,SiacoinSC,$0.001671,0.12%,0.61%,0.02%,"$93.66M$93,658,472","$5,295,4133.16B",56.02B SC,3
296,IrysIRYS,$0.04433,0.51%,4.90%,11.13%,"$92.89M$92,885,254","$7,774,030175.07M",2.09B IRYS,3
297,Useless CoinUSELESS,$0.09251,0.52%,6.86%,12.83%,"$92.43M$92,432,903","$13,003,995140.05M",999.08M USELESS,3
298,HoloHOT,$0.0005249,0.15%,1.14%,1.70%,"$92.03M$92,031,672","$3,943,2637.52B",175.31B HOT,3
299,UnibaseUB,$0.03667,0.24%,1.00%,3.21%,"$91.69M$91,693,894","$8,361,988228.07M",2.5B UB,3
300,KUB CoinKUB,$1.32,0.06%,0.42%,3.09%,"$91.07M$91,071,963","$564,672425.25K",68.97M KUB,3
